"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 16 00:23:33 CST 2021","Sun May 16 00:23:47 CST 2021","13359","cases","test_add_member","TestAddMember","","","test_add_member",""
"passed","Sun May 16 00:25:22 CST 2021","Sun May 16 00:25:30 CST 2021","8752","cases","test_edit_member","TestEditMember","","","test_edit_member",""
"passed","Sun May 16 00:24:55 CST 2021","Sun May 16 00:25:03 CST 2021","8186","cases","test_del_member","TestAddMember","","","test_del_member",""
"passed","Sun May 16 00:24:26 CST 2021","Sun May 16 00:24:32 CST 2021","6645","cases","test_clock_in","TestClockIn","","","test_outside_clock_in",""
"passed","Sun May 16 00:24:04 CST 2021","Sun May 16 00:24:15 CST 2021","11392","cases","test_clock_in","TestClockIn","","","test_general_clock_in",""
